id,titulo,version
730,Ecce ego,Solesmes
731,Domine ad adjuvandum,Solesmes
678,Credo IV,Solesmes
729,Miserere mei... tribulor,Solesmes
681,Stabat Mater,Solesmes
714,Dominus regnavit decorem,Solesmes
689,Fundamenta ejus,Solesmes
713,Benedicta es tu (Grad),Solesmes
684,Juravit Dominus,Solesmes
688,Accedite,Solesmes
694,Omnis terra,Solesmes 1961
690,Non participentur,Solesmes
686,Concupivit rex,Solesmes
691,Respice Domine,Solesmes
695,Venite filii,Solesmes
696,Memento verbi tui,Solesmes
698,A summo caelo,Solesmes
699,Dico autem vobis,Solesmes
697,Ad Dominum,Solesmes
701,Sicut cinnamomum,Solesmes
707,Agnus Dei IX,Solesmes
711,Panem caeli,Solesmes
740,Missus est Angelus (All.),Solesmes
728,Beatus vir cujus,Solesmes
758,Eduxit eos,Solesmes
757,Veni Domine et noli (Com.),Solesmes 1974
702,Exiit sermo (Grad.),Solesmes
704,Videns Dominus,Solesmes
708,Illumina,Solesmes
712,Veritas mea (Com.),Solesmes
715,Cibavit eos... Alleluia,Solesmes
719,Regali ex progenie,Solesmes
705,Fili quid fecisti (Com.),Solesmes
735,Dicit Dominus : Ego,Solesmes
736,Domine tu mihi,Solesmes
761,Pascha nostrum,Solesmes
718,Jubilate Deo omnis,Solesmes
710,Si quis putat,Solesmes
709,Magnus Dominus,Solesmes
720,Introibo ad altare,Solesmes
726,Hoc corpus,Solesmes
717,Salve Regina misericordiae,Solesmes
716,Ne perdas cum impiis,Solesmes 1961
737,Salus autem,Solesmes
725,Terra tremuit,Solesmes
721,Gloria VII,Solesmes
727,Deus qui sedes,Solesmes
723,Stetit Pontifex,Solesmes
738,Audi filia et vide (Tract.),Solesmes
734,Beata es,Solesmes
724,Beatus vir qui suffert,Solesmes
741,Deus docuisti,Solesmes
739,Jam hiems,Solesmes
762,Confitebuntur,Solesmes
763,Te Deum Patrem,Solesmes
750,Laudate Dominum Deum nostrum,Solesmes
755,Mirabilis Dominus,Solesmes
747,Immittet Angelus,Solesmes
765,Beatus vir qui timet (All.),Solesmes
743,Emendemus in melius,Solesmes
759,Agnus XII,Solesmes
752,Gaudeamus... Sanctorum omnium,Solesmes
751,Tibi dixit,Solesmes
754,Miserere mei Deus,Solesmes
756,Tollite portas,Solesmes
760,Eripe me Domine de inimicis,Solesmes
769,Ego pascam,Solesmes
772,Gaudete cum alleluia,Solesmes
773,Ambulate,Solesmes
770,Turba multa,Solesmes
771,Corona aurea,Solesmes
764,Justus cum ceciderit,Solesmes
767,Domine in lumine,Solesmes
742,Saepe expugnaverunt,Solesmes
775,Christo confixus sum,Solesmes
783,Exsurge... et intende,Solesmes
789,Angelus Domini descendit (Off.),Solesmes
790,Aquae multae,Solesmes
788,Clamaverunt justi,Solesmes
781,Exiit sermo (Com.),Solesmes
780,Improperium,Solesmes
787,Recordare Virgo,Solesmes
785,Majorem hac dilectionem,Solesmes
784,Benedicite Domino,Solesmes
786,Laetamini in Domino (Off.),Solesmes
779,Inveni David (Offertorium),Solesmes
795,Kyrie X,Solesmes
796,Ascendam,Solesmes
797,Domine in virtute,Solesmes
745,Paratum cor meum,Solesmes
768,Afferentur... post eam,Solesmes
744,Benedicamus Patrem,Solesmes
753,Spiritus Paraclitus,Solesmes 1961
732,Communicantes,Solesmes
803,Responsum,Solesmes
749,Credo III,Solesmes
798,Qui manducat,Solesmes
766,Requiem (Intr.),Solesmes
746,Potestas ejus,Solesmes
804,Ite IIb,Solesmes
805,Venite filii,Solesmes
748,Sicut lilium,Solesmes
733,Fac mecum Domine,Solesmes
